Year.Grazing,Grazing,Year,Site.ID,AcmAm,AirCa,AloSa,AveFa,BarGr,BlenNa,BriMi,BroEl,BroMi,BroDi,BroHo,BroUp,CasAt,CasCa,CenSp,ChlPo,CicQu,CotCo,CroSe,DesDa,DowBi,DowCu,DowOr,EleAc,EleMa,ElyCa,EroBo,EryCa,EscLo,FesBr,FesPe,GerDi,GlyDe,GraEb,HolVir,HorMa,HypRa,JunBa,JunBu,JunCa,JunPa,LasFr,LasGl,CotCo.1,LayFr,LeoSa,LotPu,LupBi,LytHy,NavLe,NavMe,PilAm,PlagSt,PlagGr,PogZi,PsiBr,RanBo,TriDe,TriDu,TriBi,TriHi,TriEr,TriHy,TriLa,TriVa
2016_Grazed,Grazed,2016,C3-17,0,0,0,0.556666667,5.443333333,0,3.78,0,0.22,0.666666667,22.22333333,0,0,0,0.556666667,0,0,0,0.223333333,9,0.666666667,0,0,0,0,0,29.44666667,14.22333333,0,24.66666667,0.333333333,0,0,12.55666667,0,10,0,0,20.55666667,0,0,0,0,0.776666667,0,50.11,0,0,15.89,0,0,0,0.886666667,0,4.11,0.89,0,0,0,0,0.556666667,1.666666667,0,0,0
2017_Grazed,Grazed,2017,C3-17,0,0,1.666666667,6.556666667,1.666666667,0,0.666666667,0,0,0,2.113333333,0,0,0,4.776666667,0,0,0,0,8.333333333,0,0,0,0,0,0.333333333,3.113333333,12.66666667,0,18.33333333,8.223333333,0,0,4.333333333,0,36.55333333,0,0,23.33333333,0,0.666666667,0,0,11.89,0,13.33333333,0,0,1.223333333,0,0,0,8.333333333,0,0.443333333,1.443333333,3.223333333,0.223333333,0.556666667,0,2.89,0,0,0,8.666666667
2015_Grazed,Grazed,2015,C3-19,0.556666667,0,1.11,15.11,13.44333333,0,0,0,2.89,0,9.556666667,0,0,3.223333333,1.333333333,0,0,0,1.11,2.11,0.556666667,0,0.11,0,6,3.666666667,19.66666667,7.333333333,0,17.22,0.446666667,0,0,0,0,1.443333333,0,0,0,0,0,0.443333333,0,0,0,20.88666667,0,1,0.89,6,1,0,0.333333333,0,1.333333333,6,0.223333333,0,0,0,2.89,0,0.556666667,0,0
2016_Grazed,Grazed,2016,C3-19,0,3.556666667,0,15.22333333,5.113333333,0,0,0,5.113333333,0,29.11333333,0,0,12.77666667,0.886666667,0,0.556666667,0,0.333333333,1.11,8.443333333,0.11,0.443333333,0,17.77666667,0,33.33333333,26.66666667,0,34.77666667,0,0,0,3.666666667,0,0.443333333,0,0,11.66666667,2,0,5.443333333,0,0,0,17.88666667,0,0.443333333,9.666666667,23.33333333,0,0,4.333333333,0,2.89,15.66666667,0,0,0.556666667,0,4.776666667,0,0,0,0
2017_Grazed,Grazed,2017,C3-19,0,0,0.223333333,8.89,2.333333333,0.11,1,0,2.446666667,0,16.77666667,0.11,0,1.446666667,0.333333333,0,0.11,0,0.666666667,12.77666667,22.44333333,0,2.443333333,0,19.33333333,14.33333333,6.333333333,25,0,34.22,2.666666667,0,0,8.223333333,0,1.333333333,0,0,10.55666667,0,16.11,9.89,0,0,0,6,0,0,0.333333333,21.89,0,0,1,0.223333333,1,12.55666667,0.333333333,0,0,0,0,0,0,0,0
2015_Ungrazed,Ungrazed,2015,D5-13,0,0,0,15,0.556666667,0,4.776666667,0,0.776666667,11.11,14.89,0,0.223333333,0,0,0,0,0,0.33,3.333333333,6.11,0,0,0,2.556666667,0,39,4.443333333,0,4.223333333,0.11,0,0,0.333333333,0,14,0,0,1.223333333,1.333333333,0,30.11,0,0,0,36,0,0.666666667,0.11,0,1.556666667,0,0,0,4.11,2,2,0,0,0,0,0,0,0,0
2016_Ungrazed,Ungrazed,2016,D5-13,0,0,0,3.886666667,3.333333333,6.11,5.333333333,0,0,8.89,13.22333333,0,0,0,0,0,0,0,0,0,0.886666667,0,0,0,0,0,12,4.666666667,0,14.66666667,0,0,0,10.22333333,0,0,0,0,15.55666667,1.333333333,0,12,0,0,0,25.89,0,0,1.666666667,3.223333333,0,0,14.77666667,0,1.223333333,0,7.223333333,0,0,0,0,0,0.333333333,0,0
2017_Ungrazed,Ungrazed,2017,D5-13,0,0,0,10.33333333,0,0,5,0,0,0.666666667,12.33333333,5.443333333,0,0,0,0,0,0,0.223333333,20.66666667,18.44333333,0,4,0,5.89,0,3.22,7.776666667,0,33,0.11,0,0,2.666666667,0,16.55666667,0,0,0.776666667,0.776666667,27.11,10.33333333,0,0,0,34,0,0.223333333,0.223333333,0,0,0,5.666666667,0,2,6.22,11,0,0,0,0,0,0.666666667,0.776666667,0
2015_Ungrazed,Ungrazed,2015,D5-28,0,0,2.666666667,25,0.11,0,10.66666667,0,0.11,9.333333333,15.66666667,0,0,2.223333333,1,0,0.666666667,0,0,4.443333333,2.776666667,0,0,0,0,0,18,4.666666667,0,0,0.11,0,0,0,0,5,0,0,0,4.223333333,0,29.66666667,0,0,0,44.33,0,0.223333333,1.666666667,0,1.443333333,0,2.333333333,0,0,2.223333333,0.223333333,0,0,0,0,0,0,0,0
2016_Ungrazed,Ungrazed,2016,D5-28,0,0,0,14.66666667,4.333333333,0,0.776666667,0,0,2.666666667,22.66666667,0,0,0.443333333,0.443333333,0,1.22,0,0,0,0,0,0,0,0.666666667,0,17.22,5.223333333,0,1.22,0,0,0,7.886666667,0,0,0,0,9.333333333,1.666666667,0,27.66666667,0,0.11,0.11,45.67,0,0,1.11,0,0,0,15,0,0.443333333,0,1,0,0,0,0,0,0,0,0
